"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"13791","B230209E15Rik",466.987451400742,-0.304952032802614,0.108014486945278,-2.82325122700539,0.00475393037395507,0.0252684199665403
"13792","Tnfsf12",73.1116758262968,-0.305060338367159,0.15576716535194,-1.95843801662504,0.0501786375385287,0.14654229445943
"13793","Ago3",699.679021076639,-0.305072124489339,0.090319239094615,-3.37770919626279,0.000730923329585358,0.00580384385177376
"13794","Psme1",420.797577851097,-0.305275452348895,0.12857180138195,-2.3743577446038,0.0175795087529746,0.0674587694396257
"13795","D830031N03Rik",310.867926146214,-0.305294355896595,0.101158416898042,-3.017982736961,0.00254463399765218,0.0154531024896362
"13796","5830415F09Rik",47.8582112719141,-0.305365589408046,0.163665881257609,-1.86578648562312,0.0620712438424691,0.171442828873315
"13797","Fbxl12",118.189068183242,-0.305505511275729,0.173712471409811,-1.75868496254941,0.0786310329159855,0.203588880335827
"13798","Arid5b",449.098880010308,-0.305807753373287,0.101255384653196,-3.02016287252961,0.00252638788055617,0.0153542552600442
"13799","Btbd9",4834.26012999319,-0.305825987830403,0.0997189098320858,-3.06688057807066,0.0021630525655309,0.0136847078131661
"13800","Slc8b1",79.1939873535853,-0.305953656166985,0.144365156473727,-2.11930401795163,0.0340647823195686,0.110238696881858
"13801","Slc22a15",146.484697953285,-0.305993133103435,0.14377192406903,-2.12832328067416,0.033310289161954,0.108336592175323
"13802","Zdhhc4",225.2183517301,-0.306227210332643,0.110474352465343,-2.77193034852782,0.00557249587551564,0.0285302275701466
"13803","B930018H19Rik",17.424351216215,-0.306251913412995,0.365242954628784,-0.838488215944523,0.401756563239709,0.602337415635291
"13804","Mbd5",1722.30010439029,-0.306353818740598,0.0544960941944098,-5.62157386266453,1.89225561700808e-08,8.91532518043535e-07
"13805","Apobr",14.6079898662984,-0.30635815100564,0.31264701490876,-0.979885098519314,0.327142839400503,0.530456856738362
"13806","Ttll4",335.346368129747,-0.306468183684709,0.0819272309886407,-3.74073650465742,0.000183481800744919,0.00189120864680569
"13807","Gm14391 (2)",136.471009227123,-0.306679791110964,0.132976508328936,-2.30627044554628,0.0210955254657772,0.0774263873002577
"13808","Ern1",176.358937406388,-0.306729872846228,0.0985263065200583,-3.11317742113659,0.00185084716062784,0.0121891729180706
"13809","Zfp37",474.107495508525,-0.306849593428649,0.0869519876872843,-3.52895432974124,0.000417205123695042,0.00370941499659303
"13810","Prpf8",6144.86960484306,-0.306871008478772,0.0462177400616711,-6.63968008970787,3.14364697659508e-11,3.52699097841728e-09
"13811","Elac1",742.856451819443,-0.306982136036514,0.10180733682696,-3.01532429394834,0.00256704624830023,0.0155770763588491
"13812","Pcdhga8",477.995462085399,-0.307091749986816,0.113057068690102,-2.71625430895063,0.00660251802938899,0.0326008989906798
"13813","Rgs9",441.989062019445,-0.307157168255536,0.0935608663549399,-3.28296626807922,0.00102720956273175,0.00759930414174651
"13814","Stk32b",212.189074400058,-0.30733026238736,0.409654573541007,-0.750218067214123,0.453123379092456,0.648572163135248
"13815","Nbea",11892.2872325108,-0.307354963250103,0.0657527575325621,-4.67440415860725,2.94808267083625e-06,6.29799304817689e-05
"13816","Ifrd2",82.4504724862926,-0.307356394137453,0.136081290607961,-2.25862345047065,0.0239068178239812,0.0847661974475418
"13817","Fat3",1625.96743863494,-0.307533130711027,0.129175000556696,-2.38074805020844,0.0172775244480152,0.066693810338316
"13818","Wwp2",577.851899381686,-0.307550880243755,0.0642685485944051,-4.78540261092077,1.70644915822152e-06,4.0199508493149e-05
"13819","Pitpnm3",679.522963231871,-0.307576944545845,0.0599511672716942,-5.13045798010786,2.89038078576555e-07,8.9561907671498e-06
"13820","Olfr287",64.9642940742049,-0.307586587234431,0.250287975737952,-1.22893073999076,0.219097774885805,0.408028397342266
